,Unnamed: 0,Item,Profile
0,0,DISP Cali Boxx 4000 3% Puffs - Frozen Blackberry,Blackberry
1,1,SUB Sadboy Cookie Custard,"Vanilla, Sweet, Rich"
2,2,SALT 7 Daze Fusion Orange Cream Mango,"Orange, Cream, Mango, Salt"
3,3,SALT POD Juice Strawberry Jam,"Strawberry, Jam, Sweet, Fruity"
4,4,SALT ML Jam Monster PB & Banana,none
5,5,SALT Pod Juice PJ5000 Sakura Grape,"The word ""Salt"" is not relevant to describing the flavor profile of the juice"
6,6,SUB 7daze Reds Apple Berries,"Apple, Berries"
7,7,SUB ML Fruit Monster Black Cherry,Cherry
8,8,SALT The Finest Tiramisu Custard,"Sweet, Coffee, Creamy, Tiramisu"
9,9,SALT Pinup Vapors Christie,"Tobacco, Vanilla, Caramel, Sweet"
10,10,DISP Airis NEO P8000 5% - Kiwi Strawberry,"Kiwi, Strawberry"
11,11,SUB Gost Vapor The Pancake House Strawberry,Strawberry
12,12,SUB ML Fruit Monster Mixed Berry,"Raspberry, Blueberry, Blackberry, Strawberry"
13,13,DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Strawberry Kiwi,"Strawberry, Kiwi"
14,14,DISP RAZ CA6000 5% Tobacco,Tobacco
15,15,SUB Country Clouds Strawberry Corn Bread Puddin',"Fruity, Bakery"
16,16,SALT Kaleidoscopic Clouds Sunrise / Sunset,none
17,17,SUB Sadboy Blueberry Jam,Blueberry
18,18,SALT Noms Grapenomenon,"Granite, Sweet, Grape"
19,19,SUB Vgod Cubano,"Tobacco, Sweet, Nutty"
20,20,DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Mango Peach,"Mango, Peach"
21,21,SALT Beard #00 0050,Salt
22,22,SALT Fruitia Jus Blue Raspberry Cotton Candy,"Blue Raspberry, Sweet, Fruity, Cotton Candy, Slightly Salty"
23,23,SUB Fruitia Jus White Grape Ice,"White, Grape, Ice, Sweet"
24,24,SUB Bad Drip Dont Care Bear Iced Out,none
25,25,DISP Lost Mary MO5000 5000 Puffs 4% Sour Gami Mint,"Mint, Sour"
26,26,SALT Noms X2 Kiwi Passion Fruit Nectarine,"Kiwi, Passionfruit, Nectarine, Salt"
27,27,DISP RAZ CA6000 5% Cactus Jack,"Cactus, Jack, Milk, Sweet"
28,28,SUB 7 Daze Fusion Lemon Passionfruit Blueberry,"Lemon, Passionfruit, Blueberry"
29,29,DISP Lost Vape Orion Bar Exotic Edition 5% 7500 Puffs - Euphoria Pudding,"Euphoria, Pudding"
