Item,Profile
DISP Airis NEO P8000 5% - Blueberry Ice,"Blueberry, Ice, Menthol, Fruit"
DISP Airis NEO P8000 5% - Cool Mint,"Mint, Cool"
DISP Airis NEO P8000 5% - Kiwi Passion Fruit Guava,"Kiwi, Passion Fruit, Guava, Fruit, Tropical"
DISP Airis NEO P8000 5% - Kiwi Strawberry,"Kiwi, Strawberry, Fruit"
DISP Airis NEO P8000 5% - Mango Peach Ice,"Mango, Peach, Ice, Menthol, Fruit"
DISP Airis NEO P8000 5% - Pina Colada Ice,"Coconut, Pineapple, Ice, Menthol, Pina Colada, Fruit"
DISP Airis NEO P8000 5% - Sakura Grape Ice,"Grape, Cherry Blossom, Ice, Menthol, Fruit"
DISP Airis NEO P8000 5% - Strawberry Banana,"Strawberry, Banana, Fruit"
DISP Airis NEO P8000 5% - Strawberry Cream,"Strawberry, Cream, Dessert"
DISP Airis NEO P8000 5% - Strawberry Watermelon,"Strawberry, Watermelon, Fruit"
DISP Airis NEO P8000 5% - Triple Berry Ice,"Berry, Ice, Blueberry, Raspberry, Strawberry, Menthol, Fruit"
DISP Airis NEO P8000 5% - Watermelon Bubble Gum,"Watermelon, Bubble Gum, Fruit, Candy"
DISP Airis NEO P8000 5% - Watermelon Ice,"Watermelon, Ice, Menthol, Fruit, Lush Ice"
DISP Cali Boxx 4000 3% Puffs - Blue Raspberry Kiwi Lemonade,"Blue Raspberry, Kiwi, Lemonade, Blue Razz, Fruit"
DISP Cali Boxx 4000 3% Puffs - Frozen Blackberry,"Blackberry, Ice, Menthol, Fruit"
DISP Cali Boxx 4000 3% Puffs - Mighty Mint,"Mint, Menthol, Ice"
DISP Cali Boxx 4000 5% Puffs - Blue Raspberry Kiwi Lemonade,"Blue Raspberry, Kiwi, Lemonade, Blue Razz, Fruit"
DISP E.B Design BC5000 Disposable 0% () - Miami Mint,"Mint, Menthol, Citrus, Lemon, Lime"
DISP E.B Design BC5000 Disposable 0% () - Rainbow Candy,"Strawberry, Lime, Grape, Lemon, Orange, Skittles, Candy"
DISP E.B Design BC5000 Disposable 0% () - Strawberry Mango,"Strawberry, Mango, Fruit"
DISP EB Create BC5000 Disposable 0% () - Strawberry Mango,"Strawberry, Mango, Fruit"
DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Beach Day,"Blackcurrant, Orange, Vanilla, Fruit"
DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Blue Razz Ice,"Blue Razz, Ice, Mentol, Blue Raspberry, Fruit, Candy"
DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Clear,"Light Menthol, Unsweet, Menthol"
DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Cranberry Punch,"Cranberry, Fruit Punch, Fruit"
DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Crazi Bery,"Raspberry, Dragon Fruit, Cranberry, Fruit"
DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Cuba Cigar,Tobacco
DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Malibu,"Peach, Pineapple, Orange, Fruit"
DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Orange Pear Nectar,"Orange, Pear, Fruit"
DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Peach Berry,"Peach, Blueberry, Raspberry, Strawberry, Fruit"
DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Peach Mango Watermelon,"Peach, Mango, Watermelon, Fruit"
DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Sakura Grape,"Cherry Blossom, Grape, Fruit"
