,Item,Profile
0,DISP Yaya Go Tobacco Free Nicotine 1600 Puffs By TVL Banana Bread,"Tobacco, Free, Nicotine, Banana, Bread"
1,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Frozen Banana,Banana
2,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Cherry Berry,"Cherry, Berry"
3,DISP Monster Bars 7ML 3500  Puffs 1000mAh Butterscotch Custard,"Butterscotch, Custard"
4,DISP Metaku Spongie 12ML 7500 Puffs - Strawberry Peach Mint,"Strawberry, Peach, Mint"
5,DISP So Soul Bar Y6000 14ML 6000 Puffs 650mAh - Sakura Apple Grape,"Sakura, Apple, Grape"
6,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Orange Soda,"Orange, Citrus"
7,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Pineapple Lemonade,"Citrusy, Fruity"
8,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Mango Peach Apricot,"Mango, Peach, Apricot"
9,DISP Hyde Rebel Recharge 4500puffs Sour Apple Ice,"Sour, Apple, Ice"
10,DISP Yogi Bars 5% 8000 - Vanilla Tobacco,"Vanilla, Tobacco"
11,DISP Hyde MAG Recharge 4500 Puffs Sour Apple Ice,"Sour, Apple, Ice"
12,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Cool Mint,Cool
13,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Mango Peach,"Mango, Peach"
14,DISP Hyde Curve Max 8ml 2500 Puffs Pina Colada,"Pina, Colada"
15,DISP Hyde Rebel Recharge 4500puffs Rainbow,Rainbow
16,DISP KROS 3 Unlimited 3% 14ML 6000 Puffs - Vanilla Wafer,"Vanilla, Wafer"
17,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - Strawberry Orange Mint,"Strawberry, Orange, Mint"
18,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Minty O's 30mg,"Minty, O's"
19,DISP Metaku Spongie 12ML 7500 Puffs - Strawberry Watermelon Bubblegum,"Strawberry, Watermelon, Bubblegum"
20,DISP Lost Mary OS5000 Disposable 5% Strawberry Pina Colada,"Strawberry, Pineapple"
21,DISP Hyde Rebel Recharge 4500puffs Aloe Grape,"Aloe, Grape"
22,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Snoow Grape,"Grape, Citrus"
23,DISP RAZ CA6000 10ML 5% Cactus Jack,"Cactus, Jack"
24,DISP Fume Vapes Ultra 8ML 2500 Puffs 1000mAh Peach Ice,"Peach, Ice"
